t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid
316498,450,-1328,3470,-757,13,116,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316500,458,-1365,3491,-623,17,89,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316502,467,-1395,3545,-480,21,58,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316504,467,-1423,3607,-333,25,25,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316506,471,-1451,3680,-177,28,-9,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316508,469,-1463,3744,-18,27,-44,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316510,461,-1456,3797,139,21,-81,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316512,458,-1433,3835,285,13,-117,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316514,473,-1399,3870,417,6,-153,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316516,482,-1359,3898,525,3,-187,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316518,479,-1295,3923,609,4,-218,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316520,470,-1208,3918,659,4,-242,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316522,463,-1122,3917,676,7,-259,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316524,458,-1033,3906,657,7,-269,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316526,451,-958,3888,607,10,-268,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316528,449,-900,3857,534,14,-258,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316530,442,-854,3844,445,21,-239,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316532,431,-824,3834,347,26,-212,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316534,422,-796,3814,240,32,-181,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316536,417,-782,3804,130,35,-147,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316538,412,-775,3804,17,37,-115,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316540,406,-781,3808,-101,41,-84,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316542,402,-787,3809,-221,46,-54,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316544,404,-799,3807,-341,48,-27,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
